source	Collecting_Institution	Collection_Date	Receipt_Date	Location	Country	State_Province	Latitude	Longitude	Host_Species	Host_Common_Name	Host_Identifier	Capture_Status	Health	Age	Behavior	Sample_Identifier	Sample_Material	Influenza_Test_Type	Influenza_Test_Result	Other_pathogens_tested_for (other than influenza)	Other_pathogen_test_result (other than influenza)	Habitat	Sex	Host_ID_Type	Sample_Transport_Medium	Strain_Name	Other_Host_and_Sample_Data									
2013_2_00053	CIP047	28-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11817	A	H	U	W	217-11817	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00054	CIP047	28-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11825	A	H	U	W	217-11825	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00055	CIP047	28-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11829	A	H	U	W	217-11829	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00056	CIP047	28-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-11844	A	H	H	W	217-11844	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00057	CIP047	20-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12102	A	H	U	W	217-12102	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00058	CIP047	20-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12104	A	H	U	W	217-12104	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00059	CIP047	20-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12105	A	H	U	W	217-12105	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00060	CIP047	20-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12014	A	H	U	W	217-12014	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00061	CIP047	20-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12015	A	H	U	W	217-12015	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00062	CIP047	20-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12017	A	H	U	W	217-12017	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00063	CIP047	20-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12018	A	H	U	W	217-12018	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00064	CIP047	20-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12080	A	H	U	W	217-12080	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00065	CIP047	20-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12081	A	H	U	W	217-12081	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00066	CIP047	20-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12082	A	H	U	W	217-12082	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00067	CIP047	20-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12083	A	H	U	W	217-12083	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00068	CIP047	20-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12084	A	H	U	W	217-12084	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00069	CIP047	20-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12085	A	H	U	W	217-12085	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00070	CIP047	20-12-2011	18-1-2013	Paliastomi Lake	Republic of Georgia	Guria	42.1228	41.73448	Larus ridibundus	Black-headed Gull	217-12086	A	H	U	W	217-12086	F	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
