217-2241	tracheal/op swab	tracheal swab
217-2243	tracheal/op swab	tracheal swab
217-2245	tracheal/op swab	tracheal swab
217-2247	tracheal/op swab	tracheal swab
217-2249	tracheal/op swab	tracheal swab
217-2251	tracheal/op swab	tracheal swab
217-2253	tracheal/op swab	tracheal swab
217-2255	tracheal/op swab	tracheal swab
217-2257	tracheal/op swab	tracheal swab
217-2259	tracheal/op swab	tracheal swab
217-2261	tracheal/op swab	tracheal swab
217-2263	tracheal/op swab	tracheal swab
217-2265	tracheal/op swab	tracheal swab
217-2267	tracheal/op swab	tracheal swab
217-2269	tracheal/op swab	tracheal swab
217-2271	tracheal/op swab	tracheal swab
217-2273	tracheal/op swab	tracheal swab
217-2275	tracheal/op swab	tracheal swab
217-2277	tracheal/op swab	tracheal swab
217-2279	tracheal/op swab	tracheal swab
217-2281	tracheal/op swab	tracheal swab
217-2283	tracheal/op swab	tracheal swab
217-2286	tracheal/op swab	tracheal swab
217-2288	tracheal/op swab	tracheal swab
217-2290	tracheal/op swab	tracheal swab
217-2292	tracheal/op swab	tracheal swab
217-2294	tracheal/op swab	tracheal swab
217-2296	tracheal/op swab	tracheal swab
217-2298	tracheal/op swab	tracheal swab
217-2300	tracheal/op swab	tracheal swab
217-2302	tracheal/op swab	tracheal swab
217-2304	tracheal/op swab	tracheal swab
217-2306	tracheal/op swab	tracheal swab
217-2308	tracheal/op swab	tracheal swab
217-2310	tracheal/op swab	tracheal swab
217-47	tracheal/op swab	oral-pharyngeal
217-49	tracheal/op swab	oral-pharyngeal
217-51	tracheal/op swab	oral-pharyngeal
217-53	tracheal/op swab	oral-pharyngeal
217-55	tracheal/op swab	oral-pharyngeal
217-57	tracheal/op swab	oral-pharyngeal
217-59	tracheal/op swab	oral-pharyngeal
217-61	tracheal/op swab	oral-pharyngeal
217-63	tracheal/op swab	oral-pharyngeal
217-65	tracheal/op swab	oral-pharyngeal
217-67	tracheal/op swab	oral-pharyngeal
217-69	tracheal/op swab	oral-pharyngeal
217-71	tracheal/op swab	oral-pharyngeal
217-73	tracheal/op swab	oral-pharyngeal
217-75	tracheal/op swab	oral-pharyngeal
217-77	tracheal/op swab	oral-pharyngeal
217-79	tracheal/op swab	oral-pharyngeal
217-81	tracheal/op swab	oral-pharyngeal
217-83	tracheal/op swab	oral-pharyngeal
217-340	tracheal/op swab	oral-pharyngeal
217-342	tracheal/op swab	oral-pharyngeal
217-343	tracheal/op swab	oral-pharyngeal
217-345	tracheal/op swab	oral-pharyngeal
217-383	tracheal/op swab	oral-pharyngeal
217-385	tracheal/op swab	oral-pharyngeal
217-387	tracheal/op swab	oral-pharyngeal
217-389	tracheal/op swab	oral-pharyngeal
217-390	tracheal/op swab	oral-pharyngeal
217-392	tracheal/op swab	oral-pharyngeal
217-394	tracheal/op swab	oral-pharyngeal
217-396	tracheal/op swab	oral-pharyngeal
217-401	tracheal/op swab	oral-pharyngeal
217-403	tracheal/op swab	oral-pharyngeal
217-405	tracheal/op swab	oral-pharyngeal
217-407	tracheal/op swab	oral-pharyngeal
217-409	tracheal/op swab	oral-pharyngeal
217-509	tracheal/op swab	oral-pharyngeal
217-515	tracheal/op swab	oral-pharyngeal
217-517	tracheal/op swab	oral-pharyngeal
217-518	tracheal/op swab	oral-pharyngeal
217-521	tracheal/op swab	oral-pharyngeal
217-522	tracheal/op swab	oral-pharyngeal
217-561	tracheal/op swab	oral-pharyngeal
217-567	tracheal/op swab	oral-pharyngeal
217-569	tracheal/op swab	oral-pharyngeal
217-571	tracheal/op swab	oral-pharyngeal
